bw;delay;average_throughput;average_queue_length;average_max_queue_length;max_measured_queue_length;reward
14.2929292929292923731;15.0000000000000000000;1585044.8000000000465661287;517.7799999999999727152;1000.0000000000000000000;1000.0000000000000000000;-5.9020539999999988012
14.4949494949494948060;15.0000000000000000000;1608491.6000000000931322575;515.4897999999999456122;1000.0000000000000000000;1000.0000000000000000000;-5.8454909079999977095
14.6969696969696972388;15.0000000000000000000;1631916.8000000000465661287;512.8048000000000001819;1000.0000000000000000000;1000.0000000000000000000;-5.7832406079999998383
14.8989898989898996717;15.0000000000000000000;1656788.0000000000000000000;509.9807999999999879037;1000.0000000000000000000;1000.0000000000000000000;-5.7175343679999999225
15.1010101010101003283;15.0000000000000000000;1680213.1999999999534338713;507.3086000000000126420;1000.0000000000000000000;1000.0000000000000000000;-5.6554691560000005524
15.3030303030303027612;15.0000000000000000000;1703860.0000000000000000000;505.2085999999999899046;1000.0000000000000000000;1000.0000000000000000000;-5.6014563560000008025
15.5050505050505051940;15.0000000000000000000;1727931.1999999999534338713;502.6958000000000197360;1000.0000000000000000000;1000.0000000000000000000;-5.5410500680000005502
15.7070707070707076269;15.0000000000000000000;1751867.1999999999534338713;500.3519999999999754436;1000.0000000000000000000;1000.0000000000000000000;-5.4832227199999987732
15.9090909090909082835;15.0000000000000000000;1775292.3999999999068677425;498.2783999999999764441;1000.0000000000000000000;1000.0000000000000000000;-5.4298132640000007498
16.1111111111111107164;15.0000000000000000000;1799317.6000000000931322575;496.0373999999999909960;1000.0000000000000000000;1000.0000000000000000000;-5.3733832039999995800
16.3131313131313149256;15.0000000000000000000;1823610.3999999999068677425;493.7615999999999871761;1000.0000000000000000000;1000.0000000000000000000;-5.3161823359999988980
16.5151515151515155821;15.0000000000000000000;1848770.8000000000465661287;491.5552000000000134605;1000.0000000000000000000;1000.0000000000000000000;-5.2591173920000002795
16.7171717171717162387;15.0000000000000000000;1871039.1999999999534338713;489.8004000000000246473;1000.0000000000000000000;1000.0000000000000000000;-5.2114745839999994104
16.9191919191919168952;15.0000000000000000000;1894775.1999999999534338713;487.6155999999999721695;1000.0000000000000000000;1000.0000000000000000000;-5.1561463760000005863
